province,city,update_time,nowConfirm,confirm,suspect,dead,deadRate,showRate,heal,healRate,showHeal
广东,东莞,2020-03-26 13:01:49,0,100,0,1,1.00,False,99,99.00,True
广东,汕尾,2020-03-26 13:01:49,0,5,0,0,0.00,False,5,100.00,True
广东,河源,2020-03-26 13:01:49,0,4,0,0,0.00,False,4,100.00,True
广东,地区待确认,2020-03-26 13:01:49,-2,0,0,0,0.00,False,2,0.00,True
福建,境外输入,2020-03-26 13:01:49,32,32,0,0,0.00,False,0,0.00,True
福建,莆田,2020-03-26 13:01:49,0,56,0,0,0.00,False,56,100.00,True
福建,漳州,2020-03-26 13:01:49,0,20,0,0,0.00,False,20,100.00,True
福建,地区待确认,2020-03-26 13:01:49,0,0,0,0,0.00,False,0,0.00,True
福建,宁德,2020-03-26 13:01:49,0,26,0,0,0.00,False,26,100.00,True
福建,龙岩,2020-03-26 13:01:49,0,6,0,0,0.00,False,6,100.00,True
福建,南平,2020-03-26 13:01:49,0,20,0,0,0.00,False,20,100.00,True
福建,三明,2020-03-26 13:01:49,0,14,0,0,0.00,False,14,100.00,True
福建,泉州,2020-03-26 13:01:49,0,47,0,0,0.00,False,47,100.00,True
福建,厦门,2020-03-26 13:01:49,0,35,0,0,0.00,False,35,100.00,True
福建,福州,2020-03-26 13:01:49,0,72,0,1,1.39,False,71,98.61,True
澳门,地区待确认,2020-03-26 13:01:49,21,31,0,0,0.00,False,10,32.26,True
浙江,境外输入,2020-03-26 13:01:49,20,26,0,0,0.00,False,6,23.08,True
浙江,金华,2020-03-26 13:01:49,0,55,0,0,0.00,False,55,100.00,True
浙江,丽水,2020-03-26 13:01:49,0,17,0,0,0.00,False,17,100.00,True
浙江,台州,2020-03-26 13:01:49,0,146,0,0,0.00,False,146,100.00,True
浙江,舟山,2020-03-26 13:01:49,0,10,0,0,0.00,False,10,100.00,True
浙江,衢州,2020-03-26 13:01:49,0,14,0,0,0.00,False,14,100.00,True
浙江,省十里丰监狱,2020-03-26 13:01:49,0,36,0,0,0.00,False,36,100.00,True
浙江,绍兴,2020-03-26 13:01:49,0,42,0,0,0.00,False,42,100.00,True
浙江,嘉兴,2020-03-26 13:01:49,0,45,0,0,0.00,False,45,100.00,True
浙江,湖州,2020-03-26 13:01:49,0,10,0,0,0.00,False,10,100.00,True
浙江,温州,2020-03-26 13:01:49,0,504,0,1,0.20,False,503,99.80,True
浙江,宁波,2020-03-26 13:01:49,0,157,0,0,0.00,False,157,100.00,True
浙江,杭州,2020-03-26 13:01:49,0,181,0,0,0.00,False,181,100.00,True
天津,境外输入,2020-03-26 13:01:49,15,15,0,0,0.00,False,0,0.00,True
天津,和平区,2020-03-26 13:01:49,0,6,0,0,0.00,False,6,100.00,True
天津,河北区,2020-03-26 13:01:49,0,12,0,0,0.00,False,12,100.00,True
天津,津南区,2020-03-26 13:01:49,0,2,0,0,0.00,False,2,100.00,True
天津,北辰区,2020-03-26 13:01:49,0,6,0,0,0.00,False,6,100.00,True
天津,南开区,2020-03-26 13:01:49,0,6,0,0,0.00,False,6,100.00,True
天津,河东区,2020-03-26 13:01:49,0,15,0,1,6.67,False,14,93.33,True
天津,宁河区,2020-03-26 13:01:49,0,4,0,0,0.00,False,4,100.00,True
天津,宝坻区,2020-03-26 13:01:49,0,60,0,2,3.33,False,58,96.67,True
天津,外地来津,2020-03-26 13:01:49,0,6,0,0,0.00,False,6,100.00,True
天津,滨海新区,2020-03-26 13:01:49,0,3,0,0,0.00,False,3,100.00,True
天津,武清区,2020-03-26 13:01:49,0,2,0,0,0.00,False,2,100.00,True
天津,河西区,2020-03-26 13:01:49,0,4,0,0,0.00,False,4,100.00,True
天津,东丽区,2020-03-26 13:01:49,0,4,0,0,0.00,False,4,100.00,True
天津,西青区,2020-03-26 13:01:49,0,4,0,0,0.00,False,4,100.00,True
天津,红桥区,2020-03-26 13:01:49,0,2,0,0,0.00,False,2,100.00,True
内蒙古,境外输入,2020-03-26 13:01:49,14,14,0,0,0.00,False,0,0.00,True
内蒙古,包头,2020-03-26 13:01:49,0,11,0,0,0.00,False,11,100.00,True
内蒙古,呼和浩特,2020-03-26 13:01:49,0,7,0,0,0.00,False,7,100.00,True
内蒙古,乌兰察布,2020-03-26 13:01:49,0,3,0,0,0.00,False,3,100.00,True
内蒙古,锡林郭勒,2020-03-26 13:01:49,0,9,0,0,0.00,False,9,100.00,True
内蒙古,赤峰,2020-03-26 13:01:49,0,9,0,0,0.00,False,9,100.00,True
内蒙古,通辽,2020-03-26 13:01:49,0,7,0,0,0.00,False,7,100.00,True
内蒙古,鄂尔多斯,2020-03-26 13:01:49,0,11,0,0,0.00,False,11,100.00,True
内蒙古,呼伦贝尔,2020-03-26 13:01:49,0,7,0,0,0.00,False,7,100.00,True
内蒙古,巴彦淖尔,2020-03-26 13:01:49,0,8,0,1,12.50,False,7,87.50,True
内蒙古,兴安盟,2020-03-26 13:01:49,0,1,0,0,0.00,False,1,100.00,True
内蒙古,乌海,2020-03-26 13:01:49,0,2,0,0,0.00,False,2,100.00,True
甘肃,境外输入,2020-03-26 13:01:49,13,45,0,0,0.00,False,32,71.11,True
甘肃,白银,2020-03-26 13:01:49,0,4,0,0,0.00,False,4,100.00,True
甘肃,地区待确认,2020-03-26 13:01:49,0,0,0,0,0.00,False,0,0.00,True
甘肃,兰州,2020-03-26 13:01:49,0,36,0,2,5.56,False,34,94.44,True
甘肃,平凉,2020-03-26 13:01:49,0,9,0,0,0.00,False,9,100.00,True
甘肃,庆阳,2020-03-26 13:01:49,0,3,0,0,0.00,False,3,100.00,True
甘肃,定西,2020-03-26 13:01:49,0,9,0,0,0.00,False,9,100.00,True
甘肃,甘南州,2020-03-26 13:01:49,0,8,0,0,0.00,False,8,100.00,True
甘肃,天水,2020-03-26 13:01:49,0,12,0,0,0.00,False,12,100.00,True
甘肃,陇南,2020-03-26 13:01:49,0,4,0,0,0.00,False,4,100.00,True
甘肃,临夏,2020-03-26 13:01:49,0,3,0,0,0.00,False,3,100.00,True
甘肃,张掖,2020-03-26 13:01:49,0,2,0,0,0.00,False,2,100.00,True
甘肃,金昌,2020-03-26 13:01:49,0,1,0,0,0.00,False,1,100.00,True
山东,境外输入,2020-03-26 13:01:49,10,10,0,0,0.00,False,0,0.00,True
山东,潍坊,2020-03-26 13:01:49,0,44,0,0,0.00,False,44,100.00,True
山东,济宁,2020-03-26 13:01:49,0,260,0,0,0.00,False,260,100.00,True
山东,济南,2020-03-26 13:01:49,0,47,0,0,0.00,False,47,100.00,True
山东,临沂,2020-03-26 13:01:49,0,49,0,0,0.00,False,49,100.00,True
山东,淄博,2020-03-26 13:01:49,0,30,0,1,3.33,False,29,96.67,True
山东,枣庄,2020-03-26 13:01:49,0,24,0,0,0.00,False,24,100.00,True
山东,烟台,2020-03-26 13:01:49,0,47,0,0,0.00,False,47,100.00,True
山东,青岛,2020-03-26 13:01:49,0,61,0,1,1.64,False,60,98.36,True
山东,泰安,2020-03-26 13:01:49,0,35,0,2,5.71,False,33,94.29,True
山东,威海,2020-03-26 13:01:49,0,38,0,1,2.63,False,37,97.37,True
山东,日照,2020-03-26 13:01:49,0,16,0,0,0.00,False,16,100.00,True
山东,菏泽,2020-03-26 13:01:49,0,18,0,0,0.00,False,18,100.00,True
山东,滨州,2020-03-26 13:01:49,0,15,0,0,0.00,False,15,100.00,True
