省份,城市,更新日期,现有确诊,累计确诊,累计治愈,累计死亡,今日新增确诊,今日新增治愈
广东,地区待确认,2020-06-21 11:12:36,0,0,0,0,0,0
广东,惠州,2020-06-21 11:12:36,0,62,62,0,0,0
广东,肇庆,2020-06-21 11:12:36,0,19,18,1,0,0
广东,东莞,2020-06-21 11:12:36,0,99,98,1,0,0
广东,阳江,2020-06-21 11:12:36,0,14,14,0,0,0
广东,茂名,2020-06-21 11:12:36,0,14,14,0,0,0
广东,韶关,2020-06-21 11:12:36,0,10,9,1,0,0
广东,清远,2020-06-21 11:12:36,0,12,12,0,0,0
广东,汕尾,2020-06-21 11:12:36,0,5,5,0,0,0
广东,潮州,2020-06-21 11:12:36,0,5,5,0,0,0
广东,深圳,2020-06-21 11:12:36,0,423,420,3,0,0
陕西,境外输入,2020-06-21 11:12:36,7,71,64,0,2,0
陕西,韩城,2020-06-21 11:12:36,0,1,1,0,0,0
陕西,渭南,2020-06-21 11:12:36,0,15,15,0,0,0
陕西,咸阳,2020-06-21 11:12:36,0,17,17,0,0,0
陕西,西安,2020-06-21 11:12:36,0,120,117,3,0,0
陕西,汉中,2020-06-21 11:12:36,0,26,26,0,0,0
陕西,杨凌,2020-06-21 11:12:36,0,1,1,0,0,0
陕西,地区待确认,2020-06-21 11:12:36,0,0,0,0,0,0
陕西,榆林,2020-06-21 11:12:36,0,3,3,0,0,0
陕西,商洛,2020-06-21 11:12:36,0,7,7,0,0,0
陕西,铜川,2020-06-21 11:12:36,0,8,8,0,0,0
陕西,延安,2020-06-21 11:12:36,0,8,8,0,0,0
陕西,宝鸡,2020-06-21 11:12:36,0,13,13,0,0,0
陕西,安康,2020-06-21 11:12:36,0,26,26,0,0,0
台湾,地区待确认,2020-06-21 11:12:36,5,446,434,7,0,0
福建,境外输入,2020-06-21 11:12:36,5,67,62,0,1,0
福建,莆田,2020-06-21 11:12:36,0,56,56,0,0,0
福建,漳州,2020-06-21 11:12:36,0,20,20,0,0,0
福建,地区待确认,2020-06-21 11:12:36,0,0,0,0,0,0
福建,宁德,2020-06-21 11:12:36,0,26,26,0,0,0
福建,龙岩,2020-06-21 11:12:36,0,6,6,0,0,0
福建,南平,2020-06-21 11:12:36,0,20,20,0,0,0
