省份,城市,更新日期,现有确诊,累计确诊,累计治愈,累计死亡,今日新增确诊,今日新增治愈
吉林,辽源,2020-06-21 11:12:36,0,7,7,0,0,0
吉林,延边,2020-06-21 11:12:36,0,5,5,0,0,0
吉林,松原,2020-06-21 11:12:36,0,2,2,0,0,0
吉林,梅河口市,2020-06-21 11:12:36,0,1,1,0,0,0
贵州,境外输入,2020-06-21 11:12:36,0,1,1,0,0,0
贵州,贵阳,2020-06-21 11:12:36,0,36,35,1,0,0
贵州,遵义,2020-06-21 11:12:36,0,32,32,0,0,0
贵州,六盘水,2020-06-21 11:12:36,0,10,9,1,0,0
贵州,毕节,2020-06-21 11:12:36,0,23,23,0,0,0
贵州,黔南州,2020-06-21 11:12:36,0,17,17,0,0,0
贵州,安顺,2020-06-21 11:12:36,0,4,4,0,0,0
贵州,黔东南州,2020-06-21 11:12:36,0,10,10,0,0,0
贵州,铜仁,2020-06-21 11:12:36,0,10,10,0,0,0
贵州,黔西南州,2020-06-21 11:12:36,0,4,4,0,0,0
湖南,境外输入,2020-06-21 11:12:36,0,1,1,0,0,0
湖南,湘西自治州,2020-06-21 11:12:36,0,8,8,0,0,0
湖南,娄底,2020-06-21 11:12:36,0,76,76,0,0,0
湖南,怀化,2020-06-21 11:12:36,0,40,40,0,0,0
湖南,永州,2020-06-21 11:12:36,0,44,44,0,0,0
湖南,郴州,2020-06-21 11:12:36,0,39,39,0,0,0
湖南,益阳,2020-06-21 11:12:36,0,60,60,0,0,0
湖南,张家界,2020-06-21 11:12:36,0,5,5,0,0,0
湖南,常德,2020-06-21 11:12:36,0,82,82,0,0,0
湖南,岳阳,2020-06-21 11:12:36,0,156,155,1,0,0
湖南,邵阳,2020-06-21 11:12:36,0,102,101,1,0,0
湖南,湘潭,2020-06-21 11:12:36,0,36,36,0,0,0
湖南,株洲,2020-06-21 11:12:36,0,80,80,0,0,0
湖南,衡阳,2020-06-21 11:12:36,0,48,48,0,0,0
湖南,长沙,2020-06-21 11:12:36,0,242,240,2,0,0
